<PRE>
Kurlar-Döviz Kurlarý (Günlük)
HAFTALIK,KESÝKLÝ,ORTALAMA
Kullandýðýnýz bilgisayarýn Kontrol Panelinde Bölge ve Dil Seçenekleri, 
Ek Ayarlar seçilerek seçenekler önceki sayfadaki uyarýdaki gibi tanýmlanmadýysa,
orijinal veride tam sayýdan sonra gelen sýfýr(lar) tam sayýya eklenerek açýlmýþ olabilir.



            ;TP.DK.EUR.S.1;TP.DK.USD.S.1

06-01-1950              ;0;      2.82520
13-01-1950              ;0;      2.82520
20-01-1950              ;0;      2.82520
27-01-1950              ;0;      2.82520
03-02-1950              ;0;      2.82520
10-02-1950              ;0;      2.82520
17-02-1950              ;0;      2.82520
24-02-1950              ;0;      2.82520
03-03-1950              ;0;      2.82520
10-03-1950              ;0;      2.82520
17-03-1950              ;0;      2.82520
24-03-1950              ;0;      2.82520
31-03-1950              ;0;      2.82520
07-04-1950              ;0;      2.82520
14-04-1950              ;0;      2.82520
21-04-1950              ;0;      2.82520
28-04-1950              ;0;      2.82520
05-05-1950              ;0;      2.82520
12-05-1950              ;0;      2.82520
19-05-1950              ;0;      2.82520
26-05-1950              ;0;      2.82520
02-06-1950              ;0;      2.82520
09-06-1950              ;0;      2.82520
16-06-1950              ;0;      2.82520
23-06-1950              ;0;      2.82520
30-06-1950              ;0;      2.82520
07-07-1950              ;0;      2.82520
14-07-1950              ;0;      2.82520
21-07-1950              ;0;      2.82520
28-07-1950              ;0;      2.82520
04-08-1950              ;0;      2.82520
11-08-1950              ;0;      2.82520
18-08-1950              ;0;      2.82520
25-08-1950              ;0;      2.82520
01-09-1950              ;0;      2.82520
08-09-1950              ;0;      2.82520
15-09-1950              ;0;      2.82520
22-09-1950              ;0;      2.82520
29-09-1950              ;0;      2.82520
06-10-1950              ;0;      2.82520
13-10-1950              ;0;      2.82520
20-10-1950              ;0;      2.82520
27-10-1950              ;0;      2.82520
03-11-1950              ;0;      2.82520
10-11-1950              ;0;      2.82520
17-11-1950              ;0;      2.82520
24-11-1950              ;0;      2.82520
01-12-1950              ;0;      2.82520
08-12-1950              ;0;      2.82520
15-12-1950              ;0;      2.82520
22-12-1950              ;0;      2.82520
29-12-1950              ;0;      2.82520
05-01-1951              ;0;      2.82520
12-01-1951              ;0;      2.82520
19-01-1951              ;0;      2.82520
26-01-1951              ;0;      2.82520
02-02-1951              ;0;      2.82520
09-02-1951              ;0;      2.82520
16-02-1951              ;0;      2.82520
23-02-1951              ;0;      2.82520
02-03-1951              ;0;      2.82520
09-03-1951              ;0;      2.82520
16-03-1951              ;0;      2.82520
23-03-1951              ;0;      2.82520
30-03-1951              ;0;      2.82520
06-04-1951              ;0;      2.82520
13-04-1951              ;0;      2.82520
20-04-1951              ;0;      2.82520
27-04-1951              ;0;      2.82520
04-05-1951              ;0;      2.82520
11-05-1951              ;0;      2.82520
18-05-1951              ;0;      2.82520
25-05-1951              ;0;      2.82520
01-06-1951              ;0;      2.82520
08-06-1951              ;0;      2.82520
15-06-1951              ;0;      2.82520
22-06-1951              ;0;      2.82520
29-06-1951              ;0;      2.82520
06-07-1951              ;0;      2.82520
13-07-1951              ;0;      2.82520
20-07-1951              ;0;      2.82520
27-07-1951              ;0;      2.82520
03-08-1951              ;0;      2.82520
10-08-1951              ;0;      2.82520
17-08-1951              ;0;      2.82520
24-08-1951              ;0;      2.82520
31-08-1951              ;0;      2.82520
07-09-1951              ;0;      2.82520
14-09-1951              ;0;      2.82520
21-09-1951              ;0;      2.82520
28-09-1951              ;0;      2.82520
05-10-1951              ;0;      2.82520
12-10-1951              ;0;      2.82520
19-10-1951              ;0;      2.82520
26-10-1951              ;0;      2.82520
02-11-1951              ;0;      2.82520
09-11-1951              ;0;      2.82520
16-11-1951              ;0;      2.82520
23-11-1951              ;0;      2.82520
30-11-1951              ;0;      2.82520
07-12-1951              ;0;      2.82520
14-12-1951              ;0;      2.82520
21-12-1951              ;0;      2.82520
28-12-1951              ;0;      2.82520
04-01-1952              ;0;      2.82520
11-01-1952              ;0;      2.82520
18-01-1952              ;0;      2.82520
25-01-1952              ;0;      2.82520
01-02-1952              ;0;      2.82520
08-02-1952              ;0;      2.82520
15-02-1952              ;0;      2.82520
22-02-1952              ;0;      2.82520
29-02-1952              ;0;      2.82520
07-03-1952              ;0;      2.82520
14-03-1952              ;0;      2.82520
21-03-1952              ;0;      2.82520
28-03-1952              ;0;      2.82520
04-04-1952              ;0;      2.82520
11-04-1952              ;0;      2.82520
18-04-1952              ;0;      2.82520
25-04-1952              ;0;      2.82520
02-05-1952              ;0;      2.82520
09-05-1952              ;0;      2.82520
16-05-1952              ;0;      2.82520
