"IlAdi","IlceAdi","Chp","Akp","Hdp","Mhp","Iyi","Sp","Vatan","HudaPa","Diger","Ittifak1","Ittifak2"
"NULL","NULL",4058,2916,3659,340,815,76,36,48,0,22,36
"ADANA","ALADAĞ",1557,5092,63,1859,1598,135,44,45,4,11,99
"ADANA","CEYHAN",21430,28443,15444,13283,12238,779,190,372,42,157,846
"ADANA","ÇUKUROVA",89383,56316,19182,23604,40230,2922,447,354,109,713,1616
"ADANA","FEKE",1560,6001,223,1665,1487,128,43,57,7,21,116
"ADANA","İMAMOĞLU",2711,7998,389,2440,2362,227,33,37,3,25,242
"ADANA","KARAİSALI",1292,7879,91,2432,2038,187,25,46,2,12,139
"ADANA","KARATAŞ",5232,3453,1569,1900,1505,104,24,31,0,34,111
"ADANA","KOZAN",11172,36105,924,11984,14051,1039,208,246,19,136,899
"ADANA","POZANTI",2684,5801,233,2003,1709,212,28,30,4,20,153
"ADANA","SAİMBEYLİ",922,4429,69,2107,868,79,43,36,5,11,119
"ADANA","SARIÇAM",14026,37298,4109,19863,13903,858,112,265,19,166,1264
"ADANA","SEYHAN",145572,163395,104772,44334,46469,5213,1025,2537,141,1036,3864
"ADANA","TUFANBEYLİ",2084,4626,156,2508,1018,167,33,64,4,10,139
"ADANA","YUMURTALIK",2678,3807,391,1787,2025,99,33,29,1,27,118
"ADANA","YÜREĞİR",49539,88294,37420,22022,20010,2193,338,2929,50,456,1990
"ADIYAMAN","BESNİ",7839,22450,4448,3770,3118,492,126,184,0,85,321
"ADIYAMAN","ÇELİKHAN",1299,5348,1909,509,210,239,14,43,0,10,53
"ADIYAMAN","GERGER",309,6688,788,284,180,163,26,41,0,9,40
"ADIYAMAN","GÖLBAŞI",6492,13369,2256,4106,1982,270,80,88,0,54,308
"ADIYAMAN","KAHTA",1780,40651,9707,3304,1195,1377,123,2301,0,31,316
"ADIYAMAN","MERKEZ",21296,80895,32013,16923,10293,2699,184,1322,0,168,1146
"ADIYAMAN","SAMSAT",105,2853,384,418,174,146,1,219,0,4,15
"ADIYAMAN","SİNCİK",147,9046,196,497,305,104,4,26,0,4,37
"ADIYAMAN","TUT",1298,2763,305,747,473,37,18,26,0,10,48
"AFYONKARAHİSAR","BAŞMAKÇI",1707,3061,32,881,893,56,39,27,0,20,81
"AFYONKARAHİSAR","BAYAT",711,2630,28,622,693,29,28,18,0,10,84
